,price,sqft_living,bedrooms,bathrooms,floors,condition,view,yr_built,zipcode,yr_bin,zip_bin,baths,bed_cat,floor_cat,condition_cat,view_cat,lat,long,$/sqft,bath/bed,bath/sqft,bed/sqft
0,221900.0,1180,3,1.0,1.0,3,0.0,1955,98178,50s,"(98177.0, 98199.0]",0-1,3,1.0,3,0.0,47.5112,-122.257,188.05084745762713,0.3333333333333333,0.000847457627118644,0.002542372881355932
1,538000.0,2570,3,2.25,2.0,3,0.0,1951,98125,50s,"(98118.0, 98125.0]",2-3,3,2.0,3,0.0,47.721000000000004,-122.319,209.3385214007782,0.75,0.0008754863813229572,0.0011673151750972762
2,180000.0,770,2,1.0,1.0,3,0.0,1933,98028,30s,"(98023.0, 98029.0]",0-1,2,1.0,3,0.0,47.7379,-122.23299999999999,233.76623376623377,0.5,0.0012987012987012987,0.0025974025974025974
3,604000.0,1960,4,3.0,1.0,5,0.0,1965,98136,60s,"(98133.0, 98155.0]",2-3,4,1.0,5,0.0,47.5208,-122.39299999999999,308.16326530612247,0.75,0.001530612244897959,0.0020408163265306124
4,510000.0,1680,3,2.0,1.0,3,0.0,1987,98074,80s,"(98070.0, 98075.0]",1-2,3,1.0,3,0.0,47.6168,-122.045,303.57142857142856,0.6666666666666666,0.0011904761904761906,0.0017857142857142857
5,1230000.0,5420,4,4.5,1.0,3,0.0,2001,98053,00s,"(98042.0, 98053.0]",4-5,4,1.0,3,0.0,47.6561,-122.005,226.93726937269372,1.125,0.0008302583025830259,0.0007380073800738007
6,257500.0,1715,3,2.25,2.0,3,0.0,1995,98003,90s,"(98000.999, 98004.0]",2-3,3,2.0,3,0.0,47.3097,-122.32700000000001,150.14577259475217,0.75,0.0013119533527696794,0.001749271137026239
8,229500.0,1780,3,1.0,1.0,3,0.0,1960,98146,50s,"(98133.0, 98155.0]",0-1,3,1.0,3,0.0,47.5123,-122.337,128.93258426966293,0.3333333333333333,0.0005617977528089888,0.0016853932584269663
9,323000.0,1890,3,2.5,2.0,3,0.0,2003,98038,00s,"(98033.0, 98038.0]",2-3,3,2.0,3,0.0,47.3684,-122.031,170.8994708994709,0.8333333333333334,0.0013227513227513227,0.0015873015873015873
10,662500.0,3560,3,2.5,1.0,3,0.0,1965,98007,60s,"(98004.0, 98010.0]",2-3,3,1.0,3,0.0,47.6007,-122.145,186.09550561797752,0.8333333333333334,0.0007022471910112359,0.0008426966292134832
11,468000.0,1160,2,1.0,1.0,4,0.0,1942,98115,40s,"(98107.0, 98115.0]",0-1,2,1.0,4,0.0,47.69,-122.292,403.44827586206895,0.5,0.0008620689655172414,0.0017241379310344827
12,310000.0,1430,3,1.0,1.5,4,0.0,1927,98028,20s,"(98023.0, 98029.0]",0-1,3,1.5,4,0.0,47.7558,-122.229,216.78321678321677,0.3333333333333333,0.0006993006993006993,0.002097902097902098
13,400000.0,1370,3,1.75,1.0,4,0.0,1977,98074,70s,"(98070.0, 98075.0]",1-2,3,1.0,4,0.0,47.6127,-122.045,291.97080291970804,0.5833333333333334,0.0012773722627737226,0.0021897810218978104
15,650000.0,2950,4,3.0,2.0,3,3.0,1979,98126,70s,"(98125.0, 98133.0]",2-3,4,2.0,3,3.0,47.5714,-122.375,220.33898305084745,0.75,0.001016949152542373,0.0013559322033898306
16,395000.0,1890,3,2.0,2.0,3,0.0,1994,98019,90s,"(98010.0, 98023.0]",1-2,3,2.0,3,0.0,47.7277,-121.962,208.994708994709,0.6666666666666666,0.0010582010582010583,0.0015873015873015873
17,485000.0,1600,4,1.0,1.5,4,0.0,1916,98103,pre-20s,"(98075.0, 98103.0]",0-1,4,1.5,4,0.0,47.6648,-122.34299999999999,303.125,0.25,0.000625,0.0025
18,189000.0,1200,2,1.0,1.0,4,0.0,1921,98002,20s,"(98000.999, 98004.0]",0-1,2,1.0,4,0.0,47.3089,-122.21,157.5,0.5,0.0008333333333333334,0.0016666666666666668
19,230000.0,1250,3,1.0,1.0,4,0.0,1969,98003,60s,"(98000.999, 98004.0]",0-1,3,1.0,4,0.0,47.3343,-122.306,184.0,0.3333333333333333,0.0008,0.0024
20,385000.0,1620,4,1.75,1.0,4,0.0,1947,98133,40s,"(98125.0, 98133.0]",1-2,4,1.0,4,0.0,47.7025,-122.34100000000001,237.65432098765433,0.4375,0.0010802469135802468,0.0024691358024691358
21,2000000.0,3050,3,2.75,1.0,3,4.0,1968,98040,60s,"(98038.0, 98042.0]",2-3,3,1.0,3,4.0,47.5316,-122.23299999999999,655.7377049180328,0.9166666666666666,0.0009016393442622951,0.0009836065573770492
