,date,price,bedrooms,bathrooms,sqft_living,floors,view,condition,yr_built,zipcode,lat,long,yr_bin,zip_bin,bed_cat,floor_cat,condition_cat,view_cat,baths
0,2014-10-13,221900.0,3,1.0,1180,1.0,0.0,3,1955,98178,47.5112,-122.257,50s,"(98177.0, 98199.0]",3,1.0,3,0.0,0-1
1,2014-12-09,538000.0,3,2.25,2570,2.0,0.0,3,1951,98125,47.721000000000004,-122.319,50s,"(98118.0, 98125.0]",3,2.0,3,0.0,2-3
2,2015-02-25,180000.0,2,1.0,770,1.0,0.0,3,1933,98028,47.7379,-122.23299999999999,30s,"(98023.0, 98029.0]",2,1.0,3,0.0,0-1
3,2014-12-09,604000.0,4,3.0,1960,1.0,0.0,5,1965,98136,47.5208,-122.39299999999999,60s,"(98133.0, 98155.0]",4,1.0,5,0.0,2-3
4,2015-02-18,510000.0,3,2.0,1680,1.0,0.0,3,1987,98074,47.6168,-122.045,80s,"(98070.0, 98075.0]",3,1.0,3,0.0,1-2
5,2014-05-12,1230000.0,4,4.5,5420,1.0,0.0,3,2001,98053,47.6561,-122.005,00s,"(98042.0, 98053.0]",4,1.0,3,0.0,4-5
6,2014-06-27,257500.0,3,2.25,1715,2.0,0.0,3,1995,98003,47.3097,-122.32700000000001,90s,"(98000.999, 98004.0]",3,2.0,3,0.0,2-3
8,2015-04-15,229500.0,3,1.0,1780,1.0,0.0,3,1960,98146,47.5123,-122.337,50s,"(98133.0, 98155.0]",3,1.0,3,0.0,0-1
9,2015-03-12,323000.0,3,2.5,1890,2.0,0.0,3,2003,98038,47.3684,-122.031,00s,"(98033.0, 98038.0]",3,2.0,3,0.0,2-3
10,2015-04-03,662500.0,3,2.5,3560,1.0,0.0,3,1965,98007,47.6007,-122.145,60s,"(98004.0, 98010.0]",3,1.0,3,0.0,2-3
11,2014-05-27,468000.0,2,1.0,1160,1.0,0.0,4,1942,98115,47.69,-122.292,40s,"(98107.0, 98115.0]",2,1.0,4,0.0,0-1
12,2014-05-28,310000.0,3,1.0,1430,1.5,0.0,4,1927,98028,47.7558,-122.229,20s,"(98023.0, 98029.0]",3,1.5,4,0.0,0-1
13,2014-10-07,400000.0,3,1.75,1370,1.0,0.0,4,1977,98074,47.6127,-122.045,70s,"(98070.0, 98075.0]",3,1.0,4,0.0,1-2
15,2015-01-24,650000.0,4,3.0,2950,2.0,3.0,3,1979,98126,47.5714,-122.375,70s,"(98125.0, 98133.0]",4,2.0,3,3.0,2-3
16,2014-07-31,395000.0,3,2.0,1890,2.0,0.0,3,1994,98019,47.7277,-121.962,90s,"(98010.0, 98023.0]",3,2.0,3,0.0,1-2
17,2014-05-29,485000.0,4,1.0,1600,1.5,0.0,4,1916,98103,47.6648,-122.34299999999999,pre-20s,"(98075.0, 98103.0]",4,1.5,4,0.0,0-1
18,2014-12-05,189000.0,2,1.0,1200,1.0,0.0,4,1921,98002,47.3089,-122.21,20s,"(98000.999, 98004.0]",2,1.0,4,0.0,0-1
19,2015-04-24,230000.0,3,1.0,1250,1.0,0.0,4,1969,98003,47.3343,-122.306,60s,"(98000.999, 98004.0]",3,1.0,4,0.0,0-1
20,2014-05-14,385000.0,4,1.75,1620,1.0,0.0,4,1947,98133,47.7025,-122.34100000000001,40s,"(98125.0, 98133.0]",4,1.0,4,0.0,1-2
21,2014-08-26,2000000.0,3,2.75,3050,1.0,4.0,3,1968,98040,47.5316,-122.23299999999999,60s,"(98038.0, 98042.0]",3,1.0,3,4.0,2-3
23,2014-05-16,252700.0,2,1.5,1070,1.0,0.0,3,1985,98030,47.3533,-122.166,80s,"(98029.0, 98033.0]",2,1.0,3,0.0,1-2
24,2014-11-20,329000.0,3,2.25,2450,2.0,0.0,4,1985,98030,47.3739,-122.17200000000001,80s,"(98029.0, 98033.0]",3,2.0,4,0.0,2-3
25,2014-11-03,233000.0,3,2.0,1710,1.5,0.0,5,1941,98002,47.3048,-122.21799999999999,40s,"(98000.999, 98004.0]",3,1.5,5,0.0,1-2
26,2014-06-26,937000.0,3,1.75,2450,2.0,0.0,3,1915,98119,47.6386,-122.36,pre-20s,"(98118.0, 98125.0]",3,2.0,3,0.0,1-2
27,2014-12-01,667000.0,3,1.0,1400,1.5,0.0,5,1909,98112,47.6221,-122.314,pre-20s,"(98107.0, 98115.0]",3,1.5,5,0.0,0-1
28,2014-06-24,438000.0,3,1.75,1520,1.0,0.0,3,1948,98115,47.695,-122.304,40s,"(98107.0, 98115.0]",3,1.0,3,0.0,1-2
29,2015-03-02,719000.0,4,2.5,2570,2.0,0.0,3,2005,98052,47.7073,-122.11,00s,"(98042.0, 98053.0]",4,2.0,3,0.0,2-3
30,2014-11-10,580500.0,3,2.5,2320,2.0,0.0,3,2003,98027,47.5391,-122.07,00s,"(98023.0, 98029.0]",3,2.0,3,0.0,2-3
31,2014-12-01,280000.0,2,1.5,1190,3.0,0.0,3,2005,98133,47.7274,-122.35700000000001,00s,"(98125.0, 98133.0]",2,3.0,3,0.0,1-2
32,2014-06-24,687500.0,4,1.75,2330,1.5,0.0,4,1929,98117,47.6823,-122.368,20s,"(98115.0, 98118.0]",4,1.5,4,0.0,1-2
33,2014-11-10,535000.0,3,1.0,1090,1.5,0.0,4,1929,98117,47.6889,-122.375,20s,"(98115.0, 98118.0]",3,1.5,4,0.0,0-1
34,2014-12-03,322500.0,4,2.75,2060,1.0,0.0,3,1981,98058,47.4276,-122.15700000000001,80s,"(98053.0, 98058.0]",4,1.0,3,0.0,2-3
35,2014-06-13,696000.0,3,2.5,2300,1.5,0.0,3,1930,98115,47.6827,-122.31,20s,"(98107.0, 98115.0]",3,1.5,3,0.0,2-3
36,2014-05-28,550000.0,4,1.0,1660,1.0,0.0,1,1933,98052,47.6621,-122.132,30s,"(98042.0, 98053.0]",4,1.0,1,0.0,0-1
37,2014-12-30,640000.0,4,2.0,2360,2.0,0.0,4,1904,98107,47.6702,-122.36200000000001,pre-20s,"(98103.0, 98107.0]",4,2.0,4,0.0,1-2
38,2015-02-13,240000.0,4,1.0,1220,1.0,0.0,2,1969,98001,47.3341,-122.28200000000001,60s,"(98000.999, 98004.0]",4,1.0,2,0.0,0-1
39,2014-06-20,605000.0,4,2.5,2620,2.0,0.0,3,1996,98056,47.5301,-122.18,90s,"(98053.0, 98058.0]",4,2.0,3,0.0,2-3
40,2014-07-15,625000.0,4,2.5,2570,2.0,0.0,3,2000,98074,47.6145,-122.027,90s,"(98070.0, 98075.0]",4,2.0,3,0.0,2-3
